F2P	Version
8>q	Platform
6f=	PlayerStateData
rnc	SpawnStateData
yhJ	UniverseAddress
ux@	PreviousUniverseAddress
QQp	HomeRealityIteration
Iis	RealityIndex
oZw	GalacticAddress
dZj	VoxelX
IyE	VoxelY
uXE	VoxelZ
vby	SolarSystemIndex
jsv	PlanetIndex
05J	TimeLastSpaceBattle
8br	WarpsLastSpaceBattle
8xx	ActiveSpaceBattleUA
IRi	TimeLastMiniStation
x=M	WarpsLastMiniStation
gpU	MiniStationUA
NQJ	VisitedPortal
3fO	PortalSeed
K:U	LastPortalUA
oEc	IsStoryPortal
DaC	OnOtherSideOfPortal
F?0	PersistentPlayerBases
NKm	Name
nlG	TeleportEndpoints
gk4	Facing
iAF	TeleporterType
mEH	PlayerPositionInSystem
l2U	PlayerTransformAt
tnP	ShipPositionInSystem
l4H	ShipTransformAt
jk4	LastKnownPlayerState
NGn	FreighterPositionInSystem
uAt	FreighterTransformAt
5Sg	FreighterTransformUp
wMC	Position
gk4	Facing
iAF	TeleporterType
a>;	CalcWarpOffset
mEH	PlayerPositionInSystem
l2U	PlayerTransformAt
tnP	ShipPositionInSystem
l4H	ShipTransformAt
jk4	LastKnownPlayerState
NGn	FreighterPositionInSystem
uAt	FreighterTransformAt
5Sg	FreighterTransformUp
